author_hash,text_redacted,label
u_3f7c17bc2b,НАЦИСТ ФАШИСТ,OFFENSIVE
u_61be55a8e2,Хачики попутали че то. Надо им Уржар 2.0 устроить,HATE_SPEECH
u_5f1e11e3b1,Мал шщс,OFFENSIVE
u_b53ab457aa,"Не тащите эту хуету сюда, пожалуйста, уже в тредс заебли с языковым вопросом своим. Говорите как хотите, не нравится, что другие не говорят на казахском - не общайтесь с ними",OFFENSIVE
u_5a67dba874,Барбагыла акмактарга!,OFFENSIVE
u_0bbcff82e8,Ой долбаеп біттің болды,OFFENSIVE
u_b6376de40f,CFBR,OFFENSIVE
u_6cea57c2fb,«Ждите гостей» - это дерзкие хачики-кавказцы решили местным угрожать? Ахуевшие. Никакого уважения к местному языку. Даже не стараются. Можно было хотя бы через Гугл переводчик что-то стандартно-вежливое ответить.,HATE_SPEECH
u_13e80ebafe,"А что вы пыжитесь это вам не поможет. Админ шашлычки, вы там не угражайте что гостей отправите. Любой казах мой родной, кровинка моя. А то мы заедим в гости.",OFFENSIVE
u_885991c534,Қазақ тілі даяшының ті- лі болса орыс тілі шошқаның тілі деиміз .,HATE_SPEECH
u_fd5fb074ce,Қазақ тілін корлаган үшін тумсығын бузып бичтерге қосжіперу керек мына малдарды,HATE_SPEECH
u_39024ce295,"Қазақтар өз ана тілінде сөйлеу керек, білмесе үйренсін тез арада,өте ұят болған",HATE_SPEECH
u_f7bb2923d2,жарайсың дұрыс қазақ тілін қорғау керек олай айтқан адамды жазалау керек ғой,HATE_SPEECH
u_1603915df7,"Эхххххххх, құлдық санасы бар мәңгүрттер қанды ішіп бітті.",OFFENSIVE
u_85a083eff5,Өзі қазақ бола тұра қазақ тілін қорллағаны несі басқа ұлт не істе мейді үяттай,HATE_SPEECH
u_9cdfa5e34f,Мынау қазақ мәңгүрт,HATE_SPEECH
u_833861d77e,"БҰЛ ТІЛДІ ҚОРЛАП ТҰРҒАН КІМ,ҚАЙ МЕКЕМЕ.СОНДА АУЗЫНДАҒЫ ТІЛІН ЖҰЛЫП ТАСТАСЫН ОЛ ОҢБАҒАН.ОЛ ҚАЗАҚ БОЛЫП ТУЫЛҒАН,ЯҒНИ АУЗЫНДВҒЫ ТІЛ ҚАЗАҚ ТІЛІ,ДАЯРШЫНЫҢ ТІЛІ.ӨЗІГЕ КІМНІҢ ТІЛІН САЛЫП АЛҒЫСЫ КЕЛСЕ СОНЫ САЛЫП АЛСЫН. ДАЯРШЫНЫҢ ТІЛІН ҚАЙТАРСЫН ҚАЗАҚҚА.",HATE_SPEECH
u_420067f69f,Сурак коймадынызба оз тилин даяшынын тили болса мангурлеп отырган орыс тилин кимнин жане ненин тили деп???,OFFENSIVE
u_420067f69f,Ким айтып отыр Казак тили даяшынын тили деп мынау Казактын жигити ма?! Оз Казак тилин корлап жаткан адам оз Казагын болса олген жеримиз осы баскадан не кутемиз Казак ели,HATE_SPEECH
u_c696354081,"Орыс болайын десе, бола алмай жүрген бір жағымпаз байғұс қой. Еш аяушылық болмасын, заң жүзінде қатаң жазалануы тиіс. Өз тілін сыйламаған адамды қалай қазақ деп айтуға болады. Ата заң, Конституцияны да пысқырмағаны ғой. Мұндай жағымпаз қазақтар баршылық.",HATE_SPEECH
u_20cff91452,"Қазақ тілін қорлағандарға кез келген қатаң жаза қолдану керек.Намыссыз қазақтар өз ана тілін менсінбесе надан , нақұрыс болғаны. Қанын , тілін сатқандар қазақ жерін басып жүрмей-ақ қойсын.",HATE_SPEECH
u_3e21947496,БАСҚА ҰЛТҚА МАСҚАРА БОЛҒАН ҚАЗАҒЫМ АИ.ҚАЗАҚ ЕЛІНДЕ БАСҚА ҰЛТ БІР БІРІМЕН ӨЗ ТІЛІНДЕ СӨИЛЕСЕДІ.БІЗДІҢ ҚАЗАҚБІР БІРІНЕ ҚАРСЫ ШЫҒАДЫ.ҚАИДАН ЕЛ БОЛАМЫЗ. ӨЗ ТІЛІМІЗДІҢ ТҰҒЫРЫН МЫҚТАП БЕКІТЕТІН ЗАҢ ТАЛАП ЕТІЛСІН.ОРЫС ТІЛІН АЛЫП ТАСТАСЫН.,HATE_SPEECH
u_387300059c,ШШС ТІЛІН СУЫРЫУ КЕРЕК МӘҢГҮРІТ ШШС ТАБЫУ КЕРЕК ШШС ЕШЕКТІ .,HATE_SPEECH
u_15a54d0ec3,"Мангурт мал кандай анадан туды екен ,ана тилин менсинбеитиндеи.",HATE_SPEECH
u_09c909cd5a,Мыналар малдар екен.,HATE_SPEECH
u_19e680ab96,Тілге тиіскендерді жазалау керек! Айыпбұл салғызындар қолдаймыз мұндай сатқын қазақтарды жұмыстан шығарсын!!,OFFENSIVE
u_89f3926f67,РЕСЕИДІҢ ТІЛІН ҚҰДАИДАИ КӨРГЕН АЗҒЫНДАР ЖАЗАҢЫЗДЫ АЛАСЫҢДАР ПУТИН РЕСЕИМЕН ОПАТ БОЛАСЫҢДАР,HATE_SPEECH
u_108887d26f,Казак ел!м мынандай манкурт малдардан кашан кутыламыз. Бул казак емес бул орыстын шошкасы. Оз т!л!н кад!рлемеген мал. Жарайсын кызым ана айуанды орнына койган.,HATE_SPEECH
u_1a336982f7,"Штраф, штраф миллиондап салу керек, мем лекет тилин корлаган ушин!",OFFENSIVE
u_50bd13d388,Мынадаи малдар қандаи әке шешеден шығады,HATE_SPEECH
u_39125ad502,Тупиица как ты можешь сказать про наш язык предатель ты ты сам казах или кто ты продал свою родную мать отца бейшара....,HATE_SPEECH
u_293b3fdeb7,"Бұндай қазақтарды отырған орындарында сабау керек жэне көшеде ұстап тағы ұру керек себебі олар далбай болғандар, намысы жоқ, жезөкше.",HATE_SPEECH
u_758c1562c4,ТІЛІ ЖОЙЫЛҒАН ҰЛТТЫҢ ӨЗІДЕ ЖОЙЫЛАДЫ. Ахмет Байтұрсынов.,OFFENSIVE
u_9ff7cdd7da,"ҚАЗАҚ. ТІЛІМІЗДІ. МЕНСІНБЕЙ. ҚОРЛАҒАН ДАРҒА, ЖАУАП. ОСЫЛАЙ. БОЛУ. КЕРЕК. кінә. өзіміздің. орысқұл. қазақтардан. болып. жатыр,",HATE_SPEECH
u_d9db6d87e5,Сен норыстарындыталканыншыгарган хан кпаукраинадурысоаркимо за тилиндесоидле ит ди,HATE_SPEECH
u_209a66a43f,Оз тiлiн сыиламаган малдар аиуаннан туылгандар аиуан коздерiн курту керек,OFFENSIVE
u_a0c354cb36,БҰНЫ АЙТЫП ОТЫРҒАН ҚАЗАҚТЫҢ БАЛАСЫМА.ӨЗ ТІЛІМІЗДІ ӨЗІМІЗ КҮЛКІ ЕТПЕҢДЕР ҰЯТСЫЗДАР.,OFFENSIVE
u_33ced10f64,"Өте дұрыс Қазақтан садаға кет, сені қазақтың дәмі урсын",OFFENSIVE
u_25e24bd2b6,"Өздерінше ресей тілін білім, ғылым тілі деп тұр ма, олар сол шет елден көшіруде, бізліңкілер аударма жасамай ресей тілінде қолдана берәп пайда тауып отыр",HATE_SPEECH
u_fee868a8f0,ОСЫНДАЙ ОРЫСҚҰЛ ЕСЕК ОСЫНДАЙ ЛАУАЗЫМДЫ ОРЫНДА ОТЫРУҒА ҚҰҚЫҒЫ ЖОҚ.КЕТСІН ОРЫСҚҰЛ ТОПАС НАМЫСЫ ЖОҚ ЕСЕК.,HATE_SPEECH
u_e1fc94a317,ужас казах не говорить на гос. языке русский язык не имеет никакого статуса в казахстане зачем в независимом государстве говорит на чужеродном языке игнорируя гос. язык куда смотрять власти страны,OFFENSIVE
u_48d521664e,"АССАЛАУМАҒАЛАЙКУМ ҚАЗАҚ ЕЛІ АЛҒА, ТІЛ ЖОҚ ЖЕРДЕ, ҰЛТ ЖОҚ ДЕП АЙТУҒА БОЛАДЫ, МЕНІМ ӨЗ ОЙЫМ ҚАЗАҚСТАН АЗАМАТЫ БОЛҒАННАН КЕЙІН ҚАЗАҚ ТІЛІН БІЛУГЕ МІНДЕТТІ",HATE_SPEECH
u_60cf7387e3,"Өте дұрыс Аружан қыз))) Қазақтар осылай істесе, қазақтың болашағы жоқ- деген ғой!!! МАСҚАРА! ЕЙ, жағымпаз сатқындар, тілді құрметтеңдер!!! ОЯН ҚАЗАҚ!!!!! МӘҢГҮРТТЕНБЕҢДЕР!!!!",HATE_SPEECH
u_8729e8a7ad,"Казакша сөйлемейтін казак емес олар калмактар ,иштен шыккан жаулар,нан бауларды отыз жылда әбден оятып,кутыртып жиберди.Казактар солар курлы уайымдама алмай журмиз.",HATE_SPEECH
u_d72d4f3e63,Іштен жау жаман,OFFENSIVE
u_cf41160634,"Бәрі отырған қазақтар, неге қазақ тілі мазақ болады? Мен шынымен, орыс тілінде өте нашар сөйлеймін, кейбір сөздерді укпаймын, сонда не істеуым керек? Сауда жасамаймынба, дәрігерге бармаймынба, автобуспен журмеймынбе? Сонда не аудармашы ертіп жүремін бе? Мен зейнеткермын аудармашы қызметін үнемі төлейтын қаражатым жоқ. Қазақстанда тұрамын өмір бойы, өз тіліңде еркін сөйлей алмай қор болу деген не масқара?",OFFENSIVE
u_1197914c78,Мәнкүртерді жазалау керек ...,HATE_SPEECH
u_ada49509b5,"Мекемені жауып тастау керек , сосын ғимаратын тәркілеу керек аукционға салу керек осылай кішкене қаттырақ тәсіл қолданып бүкіл Қазақ еліне жария ету керек сонда ғана тоқтайды Қазақ тілін қорлау",HATE_SPEECH
u_32516c724c,Өзіміздің ішімізден осындай жігерсіз намысы жоқ мәңгірттер болғаны өкінішті. Айтар сөз жоқ. Бәріне. әкесі мен шешесі кінәлі...........,OFFENSIVE
u_63ff50583f,"Жеке меншікті МЕДИЦИНА ОРТАЛЫҒЫ болса, олар ӘКІМШІЛІКТЕН жұмыс жасауға рұқсат алады-- ЛИЦЕНЗИЯ беріледі. Сіздер лицензияны қайтарып алу мәсілесін қарастыруға құқыңыз бар. Өйткені олар қызметті мемлекет тілінде көрсетуден бас тартып отыр, сөйтіп МЕМЛЕКЕТ ТІЛІНІҢ халыққа қызмет жасайтын орындарында заңға қарсы қайшылықтарын көрсетті, сізге ""қазақ"" деп дискриминация жасап, мемлекет тілін күлкі - мазаққа айналдырып отыр. Қазақ халқын төмендетіп, моральдік тұрғыда өздерін, орыс тілінің мәртебесін жоғары көтеретінін айқын жасырмай көрсетіп отыр.Ұлттық сана сезімнен жұрдай екен, не себепті ана тілін менсінбейді? Әлде өздерін қазақ деп санамайды ма? Онда Қазақтың жерінде несіне жүр? Қазақтың жерінен шыққан наны жақсы, суы жақсы, халқымыздың арқасында табыс тауып отыр, әлде :-""тек орыс тілді азаматтарға қызмет көрсетеміз""- деген жазуы бар ма?",HATE_SPEECH
u_d2501e380f,ҚҮҮ КЕРЕК ШОШҚАЛАРДЫ,HATE_SPEECH
u_63ff50583f,"Қазақ тілі АРХАИКАЛЫҚ ТІЛ болып табылады.Оны ютубте профессор, полиглот ПЕТРОВ.Д. интервьюінде айтылғаны бар. Қазақ тілі даяшы тілі болған емес.ОРЫС ТІЛІ- ресей империясында ҚҰЛДЫҢ ТІЛІ болып саналған кезінде, өйткені құлдар әр ұлттың қашқан- құшқаны болғандықтан, өз ара сөйлегенге ыңғайлы болсын деп ОРЫС ТІЛІН ЕкатеринаІІ патшайымы шығарып ДАЛЬ сөздігін жасатқан! РИ ПАТШАЛАРЫ ТЕК ФРАНЦУЗ ТІЛІНДЕ сөйлейтін болған! Октябрь Революциясының арқасында орыстар бас бостандығын алып, мемлекет болды, өздерінің лаптий - аяқ киімін сол кезде шешті. РИ патшалар тек Европаның аристократиясынан болғандықтан, империя ЖЕРЛЕРІ тек ГОЛЬШТЕЙН деген неміс династиясының жері болып саналған. Орыстарда жері мен мемлекеті бұрын болмаған, революцияның арқасында ""орыс халқы"" бола қалды, бірақ ""орыс ұлты"" емес!. РИ орыс тілі ""ҚҰЛДЫҢ ТІЛІ"" болып саналатын, патшалар орыс тілде сөйлемеген, намыс көретін орысша сөйлегенді.",HATE_SPEECH
u_0e7665f38a,Қазақ тілі даяшының тілі деген адамжұмыстан шығып сотқа тартылсын.қазақстаннан жер аударылсын.,HATE_SPEECH
u_63ff50583f,"ҚАЗАҚ ТІЛІ ол біздің ана тіліміз және ҚАЗАҚСТАНДА МЕМЛЕКЕТ ТІЛІ болып заңмен қабылданған! Елімізлің Егеменділігінің символикасының бірі ҚАЗАҚСТАННЫҢ ЖАЛАУЫ, ГЕРБІ мен қатар ҚАЗАҚ ТІЛІ болып келеді!!! Білімсіздік пен надандықтың арқасында осындай сөзді :-""ДАЯШЫЛАРДЫҢ ТІЛІ"" деп айтатындар, ол топастықтан. Орыс тілі негізі Екатерина крепостной құлдарға арнап шығарған, сол үшін ДАНИЯДАН ДАЛЬДІ жалдап, құлдарға арнап орыс тілі сөздігін жасауды сұраған. Сол сөздікте турк тілінен 47% сөздерді пайдалануға алынған, қалған 30% грек, болгар, славяндар, ағылшын т.т.сөздері болып табылады. Ресей империясында (РИ) ПАТШАЛАР европаның аристократиясынан шыққан, олар ФРАНЦУЗ ТІЛІНДЕ СӨЙЛЕЙТІН БОЛАТЫН! РИ бір де бір патша орыстан болмаған. Орыстардың өздері РИ ғасырлап құлдықта болған оларды КРЕПОСТНОЙ ХОЛОП деп атаған, және орыс құлын сатуға, итке ауыстыруға, карта ойынында ұтып алуға болатын, мал сияқты!!! Орысты(русскийді) Пер1 ойлап тапқан, ол қашқан-құшкан каторжниктерді, зектерді, малайлардың бәрін ОРЫС деп жазуға бұйрық берген. Сондықтан ДНК анализі бойынша орыстың қанында ұлттарына сәйкес топты табу мүмкін емес, олардың ішінде түрлі ұлттарлың ең төмен социалдық сатыдағы адамдары болып табылады. Сол себепті орыстарды тексіз деп санап ,,ИВАН НЕ ПОМНЯЩИЙ СВОЕГО РОДСТВА""- деп бекер айтылған жоқ. Орыс - РУССКИЙ деген ұлт емес, прилагательное болып келеді. ""Ты чей холоп будешь""- деп сұрайтын олардан. ""АТЫҢ, ТЕГІҢ КІМ"" - деген сұрақты орысқа қоймаған, ""қожайының кім"" - деп сұрайтын орыстан.",HATE_SPEECH
u_2e4e6209fd,Казахтар ау кашан ел боламыз орыс тилин 20 жыл бурын мусорга лактырып жибердим лас тил болгасын ата ажелеринди аккулактар черт черномаз мамбет баран деп кемситтиго заманында естеринди жиып комадан шыгатын уакыт жеттиго оян казах жеп Миржакып атамыз 100 жыл бурын айткан.,OFFENSIVE
u_5096d228d4,Қазақ тілін қорлағандар көздерін құртсын,HATE_SPEECH
u_dcc6dc600c,Жарайсын карындасым мынадай ешактарга iс козгау керек!,OFFENSIVE
u_a58287e677,Оңбаған солай айтуға болама.Сүмелек!!,OFFENSIVE
u_a58287e677,"Надандар өз тілін құрметтейді.Сорлы,сүмелек!",OFFENSIVE
u_0f328b480f,Мыналар қазақ тілын менсінбесе орыстың кең байтақ жері бар емес пе,OFFENSIVE
u_16d9806035,Мна саитандар казак тилин неге караиды жигиттер бир жеринди кысып жур кыз дурус аитады еи твари тилден садага кет не аитарымды билмеиди калды боктагым келип тур,HATE_SPEECH
u_4d21de27f9,"Осылар құртатын бізді санасыздар топас болып тұрғо ана тілге қарсы шығып отқан еее сен кім екеніңді білмейсің шығарсын сен қазақсын топас болма ана тілде бірінші орында тұру керек ,топас болмандар бұл мекемеге йыппұл салынсын талап етсін ,бұларға қанша жерден айтсанда санасыз болса сондай болады ,ұрпақтарыда сондай болады құдай сақтасын намыссыз,санасыз ұрпақтан",OFFENSIVE
u_ba35cad78b,"Өзі қазақ бола тұра даяшылардың тілі дей ма? Шошқа сука басын шауып тастайтын адам екен,отырысын қарашы орысқұл, атаңа лағнет ешақ,",HATE_SPEECH
u_53e44fe0ac,"Орыс тілі межнациональный язык общения дегенді заңнан алып тастау керек. Узбекистанға кірсен орысша сойлесен ешкім бетіне қарамайды,естимегендей болады,ешкім түсінбейды,турабересін,бәрі адамдар өтіп кетебереді,қүрі бір кәріс орысша тусініп тоқтаса сенин бақтын. Тек өзбекше сойлейді, бирак бәрі билседе. Намысы жоғары. Бизде әлі бийликтен қорқак болып журмыс,өйткені екі қүйрыққа арналған орындықымыз бар",HATE_SPEECH
u_ddc26c0bd6,"Қазақ тілін білмейтін, қазақ тілін қорлаған шошқалар Қазақ елінде тұрмауы керек . Өйткені олардың елі жоқ ! Мынау қазақ тілін қорлаған шошқаның тілін кесіп алу керек ! Ол адам болмайды.",HATE_SPEECH
u_cc1f649f13,"Қазақ тілін кемсітуді жəне саудаға салуды қашан қояды қазақтың ешактары? Ұлтын сатқан албастылар мəңгүрттер? Мəңгүрттің тіке мағынасы- нағыз топас бишара деген! Осыны мəңгүрттер біле ме екен? Есі дұрыс адам басқа тілді білсе де оған мақтанбайды керек жерде қай тілде болса да жауап беріп, өз тілінде сөйлейді. Ал мына мəңгүрт топастардың қашан есі кіреді. Қазағым-ай мəңгүрттен шаршадық ау! Қақыратып маңдайынан беріп жібергің келеді мəңгүртті. Осылай істесек Тоқаев билігі қазаққа ату жазасын беретін шығар?",HATE_SPEECH
u_cf8bd71205,Барлығы өз елінде өзің екінші сорт санайтын байғұстардан...,OFFENSIVE
u_3cb6f332e2,Шошқа жейтіндердің тілінде сөйлемеу кк Қазақ.,HATE_SPEECH
u_2af111d33b,"Қазақ қазаққа жау.Қашан ел боламыз.Рестараным бар деп,өз қазағына жау болған несі.Орыстың күшігі.Аяқтарын бір етікке тығу керек.",HATE_SPEECH
u_9551f7c6ff,"Сумелектер - орысша сойлеп Элита катарына косылам деп журген шыгар, Алматы Улкен колхозга айналып баратыр, келимсектер кобейип , тусинема соны, балдары надан шетинен - ерке тотай !!! ‍",OFFENSIVE
u_9551f7c6ff,"Орысша жанына жакын болса аа, Ресейге кет, куыс кеуде шириктер журетин жер емес бул - жаны жаркын, ак журек казак ели бул !!! ‍",OFFENSIVE
u_9551f7c6ff,"Ширене бермесин, ширик немеее",OFFENSIVE
u_76d46122ba,АТАҢА РАҺМЕТ !!!!!!!!!! ҚАЗАҚ ТІЛІНЕ ҚЫСЫМ ҚОРЛАУ ЖАСАДЫ МА??????? ЖҰМЫСТАН КЕТСІН ОРНЫН БОСАТСЫН ҚОРЫҚПАЙ МА ?????????? ЕРТЕҢ ЖІГІТТЕРГЕ БАРСЫН ЖАУАП БЕРСІН НАҒЫЗ ҚАЗАҚ ТІЛІ ҚАНДАЙ ЕКЕНЫН ТҮСЫНЕТІН БОЛАДЫ ҰЛТЫ КІМ ҚАНДАЙ ДАЯАШЫ КӨРСІН ҚАЗАҚ ТІЛІ ДАЯАШЫ ОФИЦАНТ БА??????????,HATE_SPEECH
u_497c8b7052,ужас,OFFENSIVE
u_defda35ca1,БИЗДИН КАЗАКТАР АКЫЛ ЕСИНЕН АЗЫБ БАРАД .УЛИБ. ЖАТСЫНБА БИЗДИН КАЗАКТАРДЫН БАР ОЙЫ ТАСАК УСРУМЕН ШАШ УСРУГЕ МЫИЛАРЫ АУЫБ КЕТТИ .КАЙДА БАРА ЖАТЫРМЫЗ .МЫНА КАРИ КОПСЫК ДЕПУДАТТАРДЫ КУРТУ КЕРЕКГОЙ .МЫНА БАРЫСТА КУРЫБ КЕТЕТИНИМИЗ ЖАКЫНДАБ КЕЛЕД .,OFFENSIVE
u_a5a616933d,Жаксы болыпты неге кынаны фелшер и зардап шеккен киналган калыктан кына артасындар не болды неге кеш келды. Неге тургын уиды салган и каблдап алган Акимдер тб комеция болды неге соларды соттамаисндар аиран ышкен уинде жатады карнын сипап ал шелег жалаган тутылып жауап береды . Сурак каида адлдык неге коздернды ашпаисындар оиан баисындарма осылаи корболып журесндерме солтустык кареиядан ары кеттык кои сорлы казак сорлы казак жата берндер оданда зарын коресын жатабер,OFFENSIVE
u_92a33c4fd1,"75000адам жылына жасанды түсік жасатады деген сұмдық қой. Іште біткен нәрестені өз қолымен өлтіру ғой. Алладан қорқыңдар. Түсіктен кейін бала көтере алмай қалады. Алла солай жазаласа қайтесіңдер. Өміріңе қатер төнбесе бойға біткен нәрестені босану керек. Халқымызға өсім керек, азып барамыз ба.",OFFENSIVE
u_5203fcfa7a,АҚШҚА БАРЫП КЕЛДІ ЕНДІ ПУТЛЕРГЕ ЕСЕП БЕРУ КЕРЕК.,OFFENSIVE
u_5203fcfa7a,САПАСЫЗ САЛЫНҒАН ҮИ ЖЕМҚОР ЖАИЛАҒАН ҚАЗАҚСТАН . ТАҢ ҚАЛМАИМЫН.,OFFENSIVE
u_8e1e9afa0f,"ммм.... НАРКОТИКТІ. ІЗДЕП ТАБАТЫН. ҚҰРАЛ ОЙЛАП ТАПҚАН "" МАМАН. САҚ БОЛСЫН "" ‼ хабарлап отрған адамнан сақ боюлсын ( б.а) ‼",OFFENSIVE
u_efc0148a24,Мчес неге кінәлі оданда құрлыс нашар соны іздеу керек!!,OFFENSIVE
u_94d98a28ad,"Каспи банкінің соторундаушыларын тексерсе екен ,олар өздерінің лауазымын пайдаланып отыр,",HATE_SPEECH
u_8a62892599,"Астанада жаңа салынып жатқан ҮЙЛЕР САПАСЫЗ.,,,, ЖАМАН ,, салынып жатыр. Үйлерді ӘЙТЕУІР ТҰРСА БОЛДЫ деп салынып жатыр. АҚША ТАПСАҚ БОЛДЫ ДЕГЕН ОЙМЕН САЛЫНУДА. САПА ЖОҚ МІНЕ ДӘЛЕЛ.ҮЙ ҚҰЛАДЫ.",OFFENSIVE
u_50af03cf37,"Бул басы, салынып жаткан уйлер оте сапасыз!!!",OFFENSIVE
u_904c9f5458,ДОСАЕВТЫ СОТТАУ КЕРЕК,HATE_SPEECH
u_c1ed249fea,"Бауыржан Момышұлы атамыз айтып кеткен : - "" Ана тілін білмеген адам ешқашанда өзінің халқына жаны ашымайды "" деп. Бауыржан атамыз дұрыс айтқан. Орыс тілінде шүлдүрлеген шенеулер Қазақ Еліне ешқандайда пайда келтірген емес.",HATE_SPEECH
u_7b3d86a6fb,Әттен өмірай бәрі жалған шындык жок болмайды да бос сөз кімге керек,HATE_SPEECH
u_3a635539e8,ОЛЖАС БЕКТЕНОВ ОРНЫН БОСАТСЫН.ЖЫЛДАН.АСЫК.УАКЫТ.ЖУМЫС.ИСТЕДИ.ЕШ.КАНДАЙ.ОЗГЕРИС.ЖОК.ЕЛДИ.ТОАГАН.НАЗАРБАЕВТАН.БАСТАП.БАРЛЫК.ЖЕМКОРЛАРДЫ.ТУТКЫНДАСА.МЕМ..ТИН.КОРЫН.ТОЛТЫРАР.ЕДИ.СЕРИК.ЖУМАНГАРИННЕН.БАСТАП.БАРЛЫК.МИНИСТИРЛЕРДИН.ЗАРПЛАТАСЫН.50%.КЫСКАРТКАН.ЖАКСЫ.БОЛАДЫ,OFFENSIVE
u_ca8255d1da,Өнербаевті қолдамаймын. Қазақстанда тұрып жатқандардың бәрі қазахша сөйлеуге тырысып жатыр Бірден бастан Шабуға болмайды.,HATE_SPEECH
